image_id,width_cm,height_cm,size_cm2,aspect_ratio,medium,style,artist_experience_years,artist_previous_sales,artist_reputation_score,country,is_original,edition_size,condition,year_created,time_taken_hours,ai_quality_score,ai_authenticity_score,image_brightness_score,image_contrast_score,composition_score,color_harmony_score,subject_complexity_score,market_demand_index,price_usd
ART_00019,132,87,11484,1.52,ink,conceptual,3,1,3.97,France,0,31,excellent,2026,76,0.86,0.55,0.85,0.50,0.69,0.63,0.88,0.83,1357.26
ART_00020,72,30,2160,2.40,oil,landscape,13,102,5.25,UK,0,15,excellent,2008,54,0.99,0.59,0.90,0.52,0.85,0.55,0.30,0.82,1587.95
ART_00021,121,111,13431,1.09,digital,impressionism,1,56,4.56,USA,1,1,new,2010,145,0.79,0.58,0.82,0.34,0.99,0.85,0.89,0.83,3515.32
ART_00022,38,98,3724,0.39,ink,pop_art,11,23,4.34,Turkey,0,78,excellent,1993,123,0.99,0.82,0.66,0.69,0.72,0.90,0.83,0.87,914.36
ART_00023,83,118,9794,0.70,digital,surrealism,4,319,4.34,UK,1,1,excellent,2010,239,0.90,0.77,0.46,0.71,0.73,0.75,0.35,0.56,3465.52
ART_00024,43,116,4988,0.37,gouache,pop_art,10,170,4.04,Italy,1,1,new,2011,227,0.76,0.82,0.35,0.77,0.58,0.83,0.91,0.58,1510.44
ART_00025,147,52,7644,2.83,acrylic,conceptual,11,100,3.31,Japan,1,1,excellent,2017,227,0.99,0.69,0.82,0.66,0.86,0.96,0.95,0.65,2497.14
ART_00026,83,56,4648,1.48,pastel,abstract,20,247,3.65,Turkey,0,43,fair,2006,135,0.99,0.56,0.85,0.84,0.71,0.95,0.79,0.85,1404.71
ART_00027,71,130,9230,0.55,watercolor,realism,25,14,3.69,Turkey,1,1,good,2021,37,0.93,0.62,0.56,0.67,0.79,0.87,0.60,0.75,2417.58
ART_00028,123,67,8241,1.84,mixed_media,minimalism,8,165,4.03,Germany,0,55,good,1991,49,0.99,0.57,0.46,0.42,0.71,0.53,0.55,0.53,1751.43
ART_00029,91,63,5733,1.44,mixed_media,portrait,15,287,4.48,Germany,1,1,fair,2013,87,0.99,0.69,0.60,0.55,0.80,0.58,0.52,0.84,2712.03
ART_00030,152,55,8360,2.76,ink,pop_art,8,26,4.14,Germany,1,1,fair,2016,75,0.92,0.63,0.46,0.80,0.99,0.84,0.62,0.92,1892.01
ART_00031,26,137,3562,0.19,watercolor,expressionism,12,232,4.16,Pakistan,1,1,new,2003,241,0.99,0.95,0.62,0.41,0.94,0.52,0.86,0.82,2796.66
ART_00032,149,105,15645,1.42,charcoal,minimalism,7,59,5.16,UAE,1,1,fair,1995,184,0.69,0.89,0.46,0.69,0.52,0.84,0.26,0.85,2893.59
ART_00033,79,125,9875,0.63,oil,conceptual,6,98,3.17,India,0,16,new,2018,210,0.99,0.78,0.69,0.46,0.94,0.60,0.95,0.62,2521.64
ART_00034,142,153,21726,0.93,digital,minimalism,0,415,5.38,Japan,1,1,fair,2004,78,0.84,0.71,0.35,0.73,0.60,0.74,0.68,0.84,4532.98
ART_00035,40,102,4080,0.39,pastel,pop_art,3,281,3.18,France,1,1,fair,2001,35,0.99,0.66,0.59,0.39,0.99,0.54,0.26,0.54,993.00
ART_00036,20,160,3200,0.13,watercolor,landscape,14,9,3.60,India,1,1,fair,1995,226,0.89,0.82,0.34,0.87,0.93,0.62,0.30,0.86,1407.71
ART_00037,33,25,825,1.32,mixed_media,surrealism,19,35,3.38,UK,1,1,fair,2010,59,0.99,0.85,0.34,0.62,0.95,0.58,0.95,0.98,954.76
ART_00038,98,97,9506,1.01,digital,minimalism,12,166,3.56,UK,1,1,excellent,2017,239,0.99,0.63,0.36,0.85,0.90,0.51,0.56,0.84,2666.81
ART_00039,97,109,10573,0.89,watercolor,portrait,5,1,2.92,UK,1,1,good,2005,235,0.92,0.92,0.32,0.68,0.98,0.68,0.54,0.65,2528.97
ART_00040,133,57,7581,2.33,ink,realism,1,369,4.39,Turkey,1,1,good,2006,111,0.99,0.72,0.34,0.81,0.91,0.52,0.94,0.98,2874.09
ART_00041,59,106,6254,0.56,acrylic,minimalism,14,87,3.76,UK,1,1,excellent,2011,225,0.99,0.72,0.80,0.31,0.61,0.85,0.41,0.75,2430.47
ART_00042,108,61,6588,1.77,ink,abstract,4,51,3.73,Japan,1,1,good,2004,74,0.99,0.80,0.86,0.86,0.56,0.81,0.55,0.91,1575.55
ART_00043,28,139,3892,0.20,acrylic,impressionism,18,114,3.77,Pakistan,1,1,excellent,2002,174,0.97,0.67,0.88,0.67,0.97,0.82,0.57,0.62,2525.14
ART_00044,40,159,6360,0.25,gouache,minimalism,12,20,3.57,Bangladesh,1,1,excellent,2023,156,0.97,0.82,0.85,0.81,0.73,0.78,0.90,0.69,1537.58
ART_00045,91,88,8008,1.03,mixed_media,portrait,5,307,3.28,Turkey,1,1,new,2007,194,0.99,0.69,0.63,0.83,0.96,0.57,0.64,0.97,4669.02
ART_00046,159,72,11448,2.21,watercolor,minimalism,4,45,2.96,UK,1,1,new,2015,132,0.80,0.76,0.46,0.56,0.62,0.52,0.61,0.89,1999.73
ART_00047,50,39,1950,1.28,gouache,conceptual,4,0,4.23,Turkey,0,47,good,2013,135,0.81,0.79,0.70,0.59,0.63,0.58,0.35,0.48,354.92
ART_00048,154,97,14938,1.59,acrylic,expressionism,20,388,3.76,USA,0,59,fair,2003,198,0.90,0.86,0.68,0.34,0.80,0.89,0.25,0.82,3956.90
ART_00049,45,84,3780,0.54,charcoal,expressionism,12,195,4.28,France,1,1,fair,2000,177,0.92,0.92,0.54,0.81,0.69,0.55,0.48,0.63,1202.65
ART_00050,111,134,14874,0.83,digital,minimalism,15,116,3.97,Japan,0,38,fair,2015,72,0.98,0.56,0.67,0.91,0.56,0.95,0.31,0.78,1981.10
ART_00051,87,129,11223,0.67,mixed_media,pop_art,19,92,4.28,Japan,1,1,good,1991,231,0.99,0.84,0.67,0.36,0.93,0.68,0.35,0.87,6068.75
ART_00052,63,23,1449,2.74,charcoal,impressionism,8,61,4.07,India,1,1,new,2019,239,0.73,0.59,0.65,0.67,0.76,0.93,0.69,0.68,675.61
ART_00053,79,67,5293,1.18,oil,abstract,19,24,5.51,France,1,1,good,1993,93,0.99,0.84,0.28,0.75,0.75,0.79,0.64,0.62,4174.89
ART_00054,32,22,704,1.45,mixed_media,expressionism,12,20,5.25,USA,1,1,new,2018,169,0.96,0.70,0.55,0.41,0.61,0.65,0.87,0.73,797.83
ART_00055,63,157,9891,0.40,oil,expressionism,19,34,3.49,USA,0,47,excellent,2006,189,0.99,0.78,0.86,0.47,0.64,0.86,0.82,0.77,2707.87
ART_00056,120,95,11400,1.26,gouache,landscape,11,37,3.84,USA,1,1,new,2004,39,0.99,0.66,0.44,0.77,0.66,0.84,0.85,0.69,2557.20
ART_00057,123,39,4797,3.15,acrylic,conceptual,10,181,4.73,UK,1,1,new,1994,197,0.86,0.89,0.82,0.57,0.74,0.54,0.91,0.77,3230.24
ART_00058,153,105,16065,1.46,charcoal,pop_art,3,261,4.95,Bangladesh,0,58,fair,2022,150,0.89,0.62,0.30,0.71,0.66,0.73,0.67,0.91,2197.88
ART_00059,121,146,17666,0.83,digital,realism,24,16,4.22,Bangladesh,0,45,new,2007,87,0.81,0.85,0.50,0.92,0.99,0.58,0.86,0.82,3632.63
ART_00060,145,108,15660,1.34,charcoal,minimalism,25,399,3.62,India,1,1,good,2009,129,0.99,0.62,0.77,0.66,0.95,0.83,0.62,0.57,3503.13
ART_00061,60,140,8400,0.43,ink,portrait,24,220,5.29,Italy,1,1,excellent,2001,215,0.99,0.90,0.73,0.91,0.81,0.58,0.76,0.64,3779.23
ART_00062,29,67,1943,0.43,ink,minimalism,18,47,3.77,Pakistan,1,1,excellent,2003,82,0.98,0.83,0.86,0.49,0.58,0.87,0.72,0.54,865.45
ART_00063,85,54,4590,1.57,charcoal,abstract,24,6,4.59,Italy,1,1,excellent,2011,161,0.91,0.67,0.82,0.41,0.71,0.66,0.48,0.74,1646.61
ART_00064,32,141,4512,0.23,mixed_media,minimalism,11,165,4.73,USA,1,1,excellent,2024,53,0.99,0.84,0.47,0.39,0.99,0.56,0.46,0.75,2381.61
ART_00065,119,133,15827,0.89,ink,impressionism,7,343,3.88,Canada,1,1,excellent,2007,113,0.99,0.91,0.77,0.93,0.87,0.97,0.85,0.53,3628.92
ART_00066,157,85,13345,1.85,gouache,minimalism,9,44,4.88,France,1,1,new,1993,85,0.99,0.57,0.82,0.51,0.91,0.89,0.27,0.86,3691.98
ART_00067,67,123,8241,0.54,digital,conceptual,19,290,4.36,UAE,1,1,new,1996,177,0.99,0.73,0.81,0.46,0.78,0.88,0.26,0.98,4404.95
ART_00068,139,159,22101,0.87,oil,abstract,22,31,4.76,Turkey,0,43,fair,2005,173,0.99,0.51,0.36,0.39,0.90,0.50,0.72,0.57,4231.17
ART_00069,72,44,3168,1.64,acrylic,portrait,1,6,4.34,Canada,1,1,good,1995,184,0.65,0.84,0.34,0.43,0.53,0.47,0.83,0.57,1019.85
ART_00070,23,118,2714,0.19,watercolor,expressionism,2,0,3.20,Italy,1,1,fair,2017,60,0.66,0.89,0.52,0.61,0.94,0.48,0.59,0.83,585.97
ART_00071,21,159,3339,0.13,digital,expressionism,9,65,3.47,Japan,1,1,good,2014,103,0.93,0.82,0.79,0.33,0.93,0.58,0.74,0.92,1455.94
ART_00072,109,42,4578,2.60,ink,abstract,7,155,4.22,Germany,1,1,fair,1999,70,0.75,0.57,0.76,0.94,0.90,0.99,0.73,0.73,1493.73
ART_00073,64,126,8064,0.51,gouache,impressionism,19,158,5.68,France,1,1,fair,2011,172,0.92,0.96,0.37,0.34,0.91,0.82,0.75,0.96,4245.07
ART_00074,34,84,2856,0.40,mixed_media,abstract,12,157,4.32,Germany,0,10,fair,2023,42,0.99,0.71,0.87,0.36,0.65,0.63,0.60,0.57,1060.83
ART_00075,120,51,6120,2.35,digital,portrait,25,6,3.76,Italy,1,1,excellent,2025,186,0.99,0.86,0.70,0.45,0.64,0.76,0.43,0.55,2095.86
ART_00076,100,92,9200,1.09,gouache,realism,8,127,3.71,Germany,1,1,new,2023,174,0.84,0.71,0.53,0.61,0.79,0.53,0.70,0.81,2228.26
ART_00077,43,39,1677,1.10,pastel,impressionism,17,6,5.28,France,1,1,good,2013,133,0.69,0.65,0.63,0.73,0.71,0.87,0.57,0.85,838.69
ART_00078,65,27,1755,2.41,pastel,abstract,14,194,4.01,India,1,1,new,2012,97,0.98,0.66,0.71,0.52,0.79,0.59,0.87,0.88,1265.52
ART_00079,81,70,5670,1.16,pastel,pop_art,18,196,5.74,Bangladesh,0,66,new,2007,240,0.99,0.63,0.63,0.38,0.64,0.51,0.86,0.54,1389.72
ART_00080,66,133,8778,0.50,watercolor,abstract,4,4,3.00,India,1,1,new,2009,72,0.74,0.64,0.45,0.32,0.80,0.57,0.97,0.47,1593.40
ART_00081,96,54,5184,1.78,mixed_media,realism,15,386,4.14,UAE,1,1,good,2020,228,0.99,0.91,0.84,0.88,0.56,0.67,0.96,0.96,4014.58
ART_00082,35,141,4935,0.25,ink,realism,0,121,4.83,UK,1,1,good,2006,100,0.96,0.63,0.31,0.62,0.72,0.51,0.83,0.95,1416.88
ART_00083,114,137,15618,0.83,oil,surrealism,8,215,3.97,India,1,1,fair,2021,175,0.99,0.82,0.42,0.77,0.94,0.71,0.86,0.86,5646.07
ART_00084,30,154,4620,0.19,acrylic,realism,24,210,3.52,Japan,1,1,fair,2010,215,0.99,0.59,0.76,0.59,0.78,0.62,0.57,0.78,2377.59
ART_00085,118,63,7434,1.87,acrylic,realism,17,9,4.98,France,1,1,excellent,1998,221,0.95,0.84,0.34,0.65,0.55,0.56,0.74,0.88,4350.40
ART_00086,40,33,1320,1.21,mixed_media,abstract,7,33,4.46,UK,1,1,fair,2006,167,0.99,0.68,0.83,0.66,0.91,0.84,0.92,0.83,946.46
ART_00087,122,93,11346,1.31,gouache,portrait,15,100,3.77,Germany,1,1,new,2006,19,0.89,0.94,0.72,0.91,0.64,0.79,0.38,0.61,2951.33
ART_00088,81,25,2025,3.24,acrylic,expressionism,13,11,4.41,Japan,1,1,good,1994,60,0.94,0.59,0.89,0.75,0.62,0.64,0.77,0.77,1022.81
ART_00089,44,150,6600,0.29,digital,portrait,18,257,4.15,UK,1,1,good,2004,109,0.99,0.91,0.78,0.49,0.99,0.57,0.28,0.43,2374.31
ART_00090,78,69,5382,1.13,ink,realism,16,108,3.60,France,1,1,fair,2025,196,0.99,0.76,0.79,0.89,0.78,0.81,0.93,0.72,1635.56
ART_00091,120,45,5400,2.67,mixed_media,conceptual,15,81,3.50,India,1,1,fair,2014,32,0.99,0.95,0.51,0.41,0.64,0.82,0.44,0.58,1583.16
ART_00092,38,137,5206,0.28,acrylic,surrealism,6,77,5.24,Turkey,1,1,fair,2017,9,0.99,0.87,0.75,0.33,0.67,0.88,0.92,0.97,2735.49
ART_00093,149,110,16390,1.35,digital,surrealism,20,201,4.35,UK,1,1,new,2017,191,0.99,0.96,0.54,0.82,0.64,0.75,0.69,0.56,5512.95
ART_00094,109,151,16459,0.72,charcoal,expressionism,13,3,3.28,Canada,1,1,excellent,2005,130,0.64,0.71,0.64,0.93,0.68,0.53,0.26,0.45,2065.30
ART_00095,138,144,19872,0.96,mixed_media,portrait,9,142,4.30,UK,1,1,fair,2021,119,0.94,0.71,0.34,0.88,0.73,0.55,0.74,0.86,4708.56
ART_00096,155,116,17980,1.34,ink,expressionism,1,50,3.29,Canada,1,1,fair,1994,152,0.63,0.57,0.66,0.81,0.77,0.74,0.78,0.69,1555.59
ART_00097,32,71,2272,0.45,oil,conceptual,17,206,5.00,Pakistan,1,1,new,1995,29,0.99,0.66,0.89,0.37,0.75,0.59,0.72,0.66,1804.61
ART_00098,55,37,2035,1.49,acrylic,landscape,15,86,4.11,USA,1,1,fair,2008,80,0.79,0.91,0.46,0.71,0.53,0.85,0.37,0.78,1039.26
ART_00099,158,156,24648,1.01,acrylic,impressionism,3,183,3.11,Italy,1,1,good,2006,118,0.88,0.96,0.81,0.92,0.99,0.57,0.70,0.95,5793.30
ART_00100,136,80,10880,1.70,watercolor,conceptual,12,27,4.89,Germany,0,59,good,2002,75,0.99,0.81,0.73,0.89,0.89,0.87,0.33,0.83,1786.10
ART_00101,40,151,6040,0.26,digital,impressionism,8,355,3.46,Canada,1,1,fair,1997,184,0.88,0.93,0.89,0.31,0.68,0.56,0.82,0.59,1881.74
ART_00102,35,118,4130,0.30,digital,realism,12,372,4.51,Bangladesh,1,1,fair,2021,174,0.86,0.80,0.72,0.72,0.73,0.98,0.65,0.57,1637.24
ART_00103,105,70,7350,1.50,charcoal,portrait,0,316,5.08,India,1,1,good,2022,124,0.99,0.92,0.56,0.68,0.70,0.60,0.82,0.43,1842.56
ART_00104,151,131,19781,1.15,oil,realism,0,169,4.55,UAE,1,1,fair,2020,202,0.76,0.58,0.82,0.75,0.97,0.48,0.71,0.42,3750.53
ART_00105,30,136,4080,0.22,ink,landscape,12,403,3.51,Germany,1,1,excellent,2021,28,0.99,0.73,0.80,0.37,0.65,0.93,0.79,0.73,1511.00
ART_00106,105,148,15540,0.71,acrylic,pop_art,11,20,3.68,Germany,1,1,good,2014,139,0.97,0.93,0.45,0.95,0.90,0.83,0.56,0.92,4103.71
ART_00107,78,142,11076,0.55,oil,conceptual,19,199,3.57,UK,1,1,excellent,1998,95,0.86,0.94,0.31,0.48,0.79,0.70,0.64,0.52,4351.77
ART_00108,47,140,6580,0.34,digital,conceptual,24,7,4.76,Italy,1,1,new,2001,147,0.99,0.84,0.39,0.55,0.73,0.64,0.92,0.86,3067.08
ART_00109,40,53,2120,0.75,mixed_media,minimalism,4,290,5.54,Pakistan,0,80,excellent,2015,214,0.99,0.48,0.37,0.89,0.96,0.56,0.74,0.83,1191.85
ART_00110,101,86,8686,1.17,digital,portrait,24,316,4.29,Bangladesh,1,1,fair,2007,122,0.99,0.66,0.78,0.43,0.75,0.59,0.95,0.75,2757.57
ART_00111,110,64,7040,1.72,pastel,minimalism,18,229,5.32,Turkey,0,60,fair,2017,10,0.85,0.52,0.43,0.43,0.88,0.70,0.93,0.98,1607.74
ART_00112,99,108,10692,0.92,ink,minimalism,14,116,3.99,Pakistan,1,1,new,1993,107,0.93,0.83,0.53,0.95,0.64,0.84,0.51,0.73,2521.79
ART_00113,103,92,9476,1.12,digital,portrait,15,96,3.62,India,1,1,new,2019,42,0.99,0.88,0.45,0.46,0.75,0.75,0.32,0.57,2160.97
ART_00114,62,55,3410,1.13,mixed_media,impressionism,6,214,5.08,Italy,1,1,new,2003,188,0.99,0.66,0.57,0.41,0.99,0.55,0.87,0.86,3321.03
ART_00115,136,157,21352,0.87,charcoal,landscape,0,138,4.16,Canada,1,1,excellent,2012,70,0.98,0.94,0.64,0.95,0.80,0.96,0.81,0.48,3393.96
ART_00116,28,118,3304,0.24,gouache,pop_art,21,1,4.43,Germany,1,1,excellent,1991,38,0.93,0.79,0.51,0.33,0.85,0.55,0.81,0.63,1665.23
ART_00117,63,157,9891,0.40,gouache,realism,8,13,2.74,Japan,1,1,new,1994,19,0.92,0.60,0.63,0.66,0.73,0.64,0.65,0.91,1886.68
ART_00118,38,128,4864,0.30,digital,conceptual,16,0,2.90,Canada,0,52,fair,2013,184,0.67,0.77,0.61,0.90,0.53,0.81,0.35,0.42,419.02
ART_00119,157,57,8949,2.75,charcoal,abstract,7,76,3.15,Italy,1,1,good,2006,153,0.89,0.75,0.49,0.64,0.54,0.79,0.43,0.67,1776.95
ART_00120,145,117,16965,1.24,mixed_media,expressionism,16,315,3.76,Pakistan,0,25,fair,2017,65,0.99,0.71,0.31,0.92,0.95,0.68,0.27,0.75,3842.54
ART_00121,57,56,3192,1.02,mixed_media,impressionism,10,402,4.40,USA,1,1,excellent,2014,10,0.99,0.84,0.50,0.60,0.92,0.57,0.60,0.85,2402.68
ART_00122,85,87,7395,0.98,ink,pop_art,25,332,3.81,Turkey,1,1,excellent,2012,23,0.96,0.60,0.75,0.48,0.73,0.74,0.66,0.96,2829.20
ART_00123,46,40,1840,1.15,charcoal,minimalism,5,7,4.05,Turkey,1,1,excellent,1992,138,0.98,0.60,0.81,0.72,0.56,0.72,0.31,0.75,593.85
ART_00124,28,72,2016,0.39,pastel,portrait,15,381,3.61,UK,1,1,fair,2024,168,0.99,0.71,0.80,0.87,0.65,0.86,0.68,0.94,1285.44
ART_00125,137,134,18358,1.02,digital,abstract,24,20,3.85,UAE,1,1,fair,1991,52,0.99,0.60,0.82,0.59,0.73,0.55,0.37,0.96,4440.61
ART_00126,134,99,13266,1.35,charcoal,pop_art,2,92,3.03,USA,1,1,new,1995,199,0.78,0.60,0.43,0.38,0.82,0.92,0.79,0.75,2849.12
ART_00127,42,56,2352,0.75,acrylic,abstract,8,166,3.64,USA,0,77,excellent,1996,64,0.99,0.86,0.59,0.37,0.93,0.71,0.44,0.66,875.79
ART_00128,109,72,7848,1.51,watercolor,realism,17,419,3.78,Japan,0,73,new,2015,42,0.99,0.48,0.59,0.57,0.79,0.58,0.75,0.67,1786.91
ART_00129,104,129,13416,0.81,acrylic,realism,6,235,3.37,France,1,1,new,2026,128,0.77,0.63,0.64,0.36,0.97,0.48,0.51,0.91,4164.57
ART_00130,68,39,2652,1.74,digital,minimalism,12,168,4.74,UK,1,1,excellent,2016,85,0.99,0.59,0.75,0.59,0.91,0.80,0.40,0.88,1362.73
ART_00131,29,116,3364,0.25,digital,realism,22,11,3.09,India,0,26,good,1998,38,0.99,0.82,0.32,0.48,0.60,0.78,0.96,0.44,834.81
ART_00132,85,32,2720,2.66,pastel,minimalism,18,171,3.82,Germany,1,1,good,2009,214,0.90,0.70,0.52,0.86,0.73,0.76,0.63,0.53,955.30
ART_00133,104,156,16224,0.67,acrylic,impressionism,17,318,5.39,Canada,1,1,new,2007,167,0.99,0.75,0.30,0.71,0.74,0.53,0.59,0.58,7291.15
ART_00134,23,150,3450,0.15,oil,expressionism,22,0,5.07,USA,1,1,fair,2002,28,0.88,0.92,0.31,0.44,0.79,0.94,0.43,0.46,1572.59
ART_00135,46,141,6486,0.33,oil,landscape,10,206,3.16,Germany,1,1,good,2014,47,0.99,0.67,0.29,0.32,0.99,0.79,0.52,0.65,2792.50
ART_00136,77,101,7777,0.76,acrylic,realism,24,341,4.96,Japan,0,56,new,2012,210,0.99,0.58,0.29,0.51,0.71,0.60,0.73,0.56,2489.06
ART_00137,30,102,3060,0.29,digital,abstract,16,25,4.09,India,1,1,fair,1998,217,0.99,0.93,0.55,0.66,0.69,0.57,0.42,0.95,1259.36
ART_00138,51,117,5967,0.44,charcoal,realism,7,58,3.79,France,0,12,excellent,2014,87,0.99,0.78,0.47,0.54,0.56,0.72,0.35,0.71,1375.06
ART_00139,67,70,4690,0.96,charcoal,impressionism,3,114,5.04,UAE,1,1,new,1992,222,0.80,0.60,0.64,0.41,0.70,0.82,0.87,0.86,1834.56
ART_00140,74,144,10656,0.51,charcoal,surrealism,18,21,5.03,India,1,1,fair,1997,137,0.99,0.82,0.70,0.39,0.69,0.84,0.67,0.95,3987.35
ART_00141,27,148,3996,0.18,gouache,pop_art,13,108,4.88,Canada,1,1,excellent,2001,202,0.77,0.64,0.55,0.91,0.82,0.54,0.88,0.56,1668.73
ART_00142,49,139,6811,0.35,pastel,impressionism,15,2,2.94,Italy,0,18,fair,2013,108,0.99,0.67,0.89,0.49,0.84,0.90,0.29,0.73,1316.83
ART_00143,27,26,702,1.04,gouache,portrait,17,393,3.47,Turkey,1,1,good,2025,63,0.87,0.90,0.84,0.56,0.77,0.73,0.27,0.88,633.38
ART_00144,50,128,6400,0.39,pastel,impressionism,23,67,3.97,France,0,63,good,1995,109,0.94,0.69,0.52,0.80,0.83,0.76,0.37,0.76,1324.50
ART_00145,85,93,7905,0.91,watercolor,impressionism,18,142,4.99,Bangladesh,1,1,good,2020,201,0.99,0.67,0.80,0.74,0.88,0.99,0.62,0.52,3387.37
ART_00146,93,63,5859,1.48,mixed_media,landscape,19,222,3.57,UAE,1,1,excellent,2003,26,0.99,0.86,0.55,0.34,0.85,0.89,0.51,0.53,2750.60
ART_00147,62,38,2356,1.63,watercolor,conceptual,19,15,5.40,USA,0,26,fair,2001,157,0.99,0.67,0.73,0.90,0.97,0.54,0.80,0.96,1127.54
ART_00148,68,58,3944,1.17,oil,portrait,12,392,5.17,Italy,1,1,fair,2008,246,0.99,0.89,0.66,0.51,0.94,0.60,0.25,0.86,3336.58
ART_00149,27,61,1647,0.44,charcoal,surrealism,24,139,5.05,Japan,1,1,fair,2018,137,0.99,0.68,0.35,0.82,0.60,0.56,0.84,0.92,1173.22
ART_00150,64,43,2752,1.49,charcoal,minimalism,22,116,3.52,Pakistan,1,1,fair,2015,175,0.91,0.69,0.80,0.64,0.97,0.82,0.72,0.94,1061.80
ART_00151,123,140,17220,0.88,acrylic,expressionism,18,5,5.39,Bangladesh,1,1,good,2009,134,0.99,0.84,0.32,0.88,0.90,0.60,0.63,0.46,4596.61
ART_00152,92,147,13524,0.63,charcoal,minimalism,2,278,4.74,Germany,0,16,new,2016,225,0.99,0.61,0.67,0.80,0.85,0.99,0.26,0.92,3331.47
ART_00153,39,44,1716,0.89,watercolor,portrait,10,10,4.03,UAE,0,57,excellent,2002,63,0.87,0.69,0.88,0.82,0.82,0.82,0.40,0.94,611.87
ART_00154,52,118,6136,0.44,gouache,impressionism,20,126,4.99,Canada,0,27,good,1990,33,0.99,0.52,0.62,0.32,0.58,0.81,0.58,0.88,2049.40
ART_00155,93,24,2232,3.88,watercolor,minimalism,22,8,5.47,UK,1,1,fair,2004,104,0.99,0.58,0.41,0.30,0.99,0.96,0.47,0.95,1487.37
ART_00156,41,82,3362,0.50,digital,abstract,21,80,4.76,UAE,0,81,fair,2000,158,0.99,0.74,0.37,0.77,0.75,0.56,0.46,0.87,863.37
ART_00157,104,83,8632,1.25,digital,landscape,15,367,5.64,Turkey,1,1,excellent,2018,103,0.99,0.59,0.34,0.93,0.86,0.94,0.68,0.92,4412.76
ART_00158,90,105,9450,0.86,mixed_media,minimalism,22,29,5.00,Bangladesh,1,1,fair,2026,230,0.99,0.65,0.56,0.59,0.63,0.99,0.30,0.46,2553.41
